年份,人均国内生产总值,国内生产总值,国民总收入,第一产业增加值,第三产业增加值,第二产业增加值
2025,99665.0,1401879.2,1393700.0,93346.8,808879.3,499653.0
2024,95677.0,1348066.2,1338797.3,91635.8,766124.9,490305.4
2023,91746.1238983025,1294271.74444574,1284773.90938527,89169.1148873199,729166.500577156,475936.128981267
2022,87385.0163980124,1234029.35531863,1223706.8085027,88207.0261737087,678192.708091572,467629.621053351
2021,83110.7481352643,1173822.96236322,1165816.76696433,83216.4503857899,643468.3519973,447138.159980129
2020,73337.648126588,1034867.55271428,1026751.86363527,78030.9003457103,574850.872886026,381985.779482548
2019,71452.7441815141,1005872.43357806,1003108.43384648,70473.5905931705,555538.850603618,379859.992381268
2018,66726.3209875417,936010.14028484,931972.465134334,64745.1561040139,506429.773797968,364835.210382858
2017,60691.4343176263,847382.909657846,846292.660835303,62099.5439820456,453702.908466389,331580.457209412
2016,54849.2917040202,761192.985339222,757491.979510416,60139.196087384,405625.985845413,295427.803406425
